iter	Passed	Remaining
0	142	142044
1	143	71805
2	145	48434
3	147	36659
4	148	29611
5	150	24915
6	152	21612
7	154	19123
8	156	17209
9	158	15664
10	159	14374
11	161	13300
12	163	12412
13	165	11653
14	167	11005
15	169	10432
16	171	9911
17	173	9448
18	175	9043
19	177	8684
20	179	8359
21	182	8094
22	184	7837
23	186	7596
24	188	7370
25	191	7170
26	193	6956
27	194	6761
28	196	6594
29	198	6430
30	201	6309
31	203	6168
32	205	6031
33	207	5899
34	209	5773
35	211	5651
36	212	5542
37	215	5446
38	217	5348
39	218	5255
40	220	5167
41	222	5086
42	224	5007
43	227	4935
44	228	4851
45	230	4773
46	231	4693
47	233	4627
48	234	4559
49	236	4497
50	238	4433
51	240	4388
52	242	4326
53	243	4265
54	245	4219
55	247	4171
56	249	4122
57	251	4076
58	253	4038
59	254	3994
60	256	3953
61	258	3912
62	260	3874
63	262	3838
64	264	3804
65	266	3770
66	267	3730
67	269	3695
68	271	3667
69	273	3630
70	274	3589
71	276	3563
72	278	3537
73	280	3509
74	282	3489
75	284	3458
76	287	3443
77	289	3421
78	292	3407
79	295	3400
80	297	3372
81	300	3359
82	301	3327
83	302	3293
84	304	3282
85	307	3266
86	309	3249
87	312	3238
88	315	3229
89	318	3220
90	322	3223
91	326	3218
92	329	3214
93	332	3206
94	336	3201
95	340	3204
96	344	3205
97	345	3183
98	347	3164
99	350	3150
100	352	3139
101	355	3130
102	357	3115
103	359	3100
104	362	3089
105	364	3072
106	366	3056
107	368	3042
108	370	3032
109	372	3013
110	374	2998
111	376	2983
112	378	2970
113	380	2955
114	382	2940
115	384	2927
116	385	2910
117	387	2899
118	389	2884
119	391	2869
120	393	2855
121	394	2838
122	395	2822
123	397	2807
124	399	2795
125	401	2783
126	402	2767
127	404	2753
128	405	2740
129	407	2728
130	409	2715
131	410	2702
132	412	2688
133	414	2679
134	416	2670
135	419	2663
136	421	2653
137	423	2642
138	424	2632
139	426	2620
140	428	2608
141	429	2593
142	431	2585
143	432	2573
144	434	2561
145	435	2548
146	437	2536
147	438	2524
148	439	2512
149	441	2500
150	442	2487
151	443	2476
152	445	2466
153	446	2453
154	447	2439
155	448	2427
156	449	2415
157	451	2404
158	452	2393
159	453	2382
160	454	2368
161	455	2356
162	456	2344
163	457	2333
164	458	2321
165	459	2310
166	460	2299
167	462	2288
168	463	2276
169	463	2265
170	464	2253
171	465	2242
172	466	2231
173	467	2220
174	468	2209
175	469	2198
176	470	2188
177	471	2177
178	472	2167
179	473	2156
180	474	2147
181	475	2137
182	476	2127
183	477	2117
184	478	2108
185	479	2099
186	480	2089
187	481	2079
188	482	2069
189	483	2059
190	484	2050
191	485	2041
192	485	2031
193	486	2022
194	487	2012
195	488	2003
196	489	1994
197	490	1985
198	491	1976
199	491	1967
200	492	1959
201	493	1950
202	494	1941
203	495	1933
204	496	1925
205	497	1917
206	498	1910
207	499	1902
208	500	1895
209	501	1887
210	502	1880
211	504	1873
212	505	1867
213	506	1859
214	507	1852
215	508	1845
216	509	1837
217	510	1830
218	511	1822
219	512	1815
220	512	1808
