iter	RMSE
0	13.89185264
1	13.51314984
2	13.16698509
3	12.82882094
4	12.50077457
5	12.19953891
6	11.92705428
7	11.63921272
8	11.40168418
9	11.12675209
10	10.85493841
11	10.61880926
12	10.38558871
13	10.16838975
14	9.941896831
15	9.722487022
16	9.52891177
17	9.337967588
18	9.150026809
19	8.984547238
20	8.82946606
21	8.660789072
22	8.523177444
23	8.372735393
24	8.237145856
25	8.106957277
26	7.979857947
27	7.865507259
28	7.754536142
29	7.641360999
30	7.546535442
31	7.437131137
32	7.354271738
33	7.270411542
34	7.17284482
35	7.086576283
36	7.001037066
37	6.920774816
38	6.843030659
39	6.777663262
40	6.713601231
41	6.647843985
42	6.58484881
43	6.522672133
44	6.461619719
45	6.398200317
46	6.341635677
47	6.29072926
48	6.238250062
49	6.186708939
50	6.140426333
51	6.093944561
52	6.051692961
53	6.014236614
54	5.97363187
55	5.932653302
56	5.894357804
57	5.863649806
58	5.829993352
59	5.803867167
60	5.776917679
61	5.748171381
62	5.723052547
63	5.692603708
64	5.660713501
65	5.636634173
66	5.612462743
67	5.588154606
68	5.564906717
69	5.546131504
70	5.526642308
71	5.506796929
72	5.488138592
73	5.469959919
74	5.450335525
75	5.435584239
76	5.419287205
77	5.400908903
78	5.385637603
79	5.369188144
80	5.356068552
81	5.343740496
82	5.328648014
83	5.31717912
84	5.303757832
85	5.284020186
86	5.268701052
87	5.258761227
88	5.249737566
89	5.239759967
90	5.22429932
91	5.217799257
92	5.207203651
93	5.197996458
94	5.187278227
95	5.178050049
96	5.16934463
97	5.161681529
98	5.154346099
99	5.147385669
100	5.138675396
101	5.128058255
102	5.11750227
103	5.108707499
104	5.10140931
105	5.091623041
106	5.083357479
107	5.077329827
108	5.070446553
109	5.063634296
110	5.053803888
111	5.048443468
112	5.042201769
113	5.034695946
114	5.03073764
115	5.0245651
116	5.015382259
117	5.010324407
118	5.006027483
119	4.999787298
120	4.995278867
121	4.990765482
122	4.984284041
123	4.97614592
124	4.972713949
125	4.966594774
126	4.963760192
127	4.960755278
128	4.952903838
129	4.942249735
130	4.938304778
131	4.933270773
132	4.927512048
133	4.919626812
134	4.913547525
135	4.911641891
136	4.904835001
137	4.89736707
138	4.892676523
139	4.889345009
140	4.884578247
141	4.878306891
142	4.874443835
143	4.868173041
144	4.862498371
145	4.854131307
146	4.848665434
147	4.844715486
148	4.838834921
149	4.835515814
150	4.826565178
151	4.822110919
152	4.815642997
153	4.810235582
154	4.799752771
155	4.796688873
156	4.79370444
157	4.790324312
158	4.788331754
159	4.783227127
160	4.779873596
161	4.773847751
162	4.770130178
163	4.767512551
164	4.762615885
165	4.758437699
166	4.754831437
167	4.749904463
168	4.746628284
169	4.741146828
170	4.73625459
171	4.729417448
172	4.726308599
173	4.71754732
174	4.713579721
175	4.711529824
176	4.708610449
177	4.703408012
178	4.698333053
179	4.69685199
180	4.692984832
181	4.688243073
182	4.685031514
183	4.677847378
184	4.674061573
185	4.671118758
186	4.667223143
187	4.663589837
188	4.66104359
189	4.656577633
190	4.653260524
191	4.645448216
192	4.639890149
193	4.636139925
194	4.631240269
195	4.628682764
196	4.625876483
197	4.621935355
198	4.620481574
199	4.613558997
200	4.60795856
201	4.605324594
202	4.601835903
203	4.595076361
204	4.589042053
205	4.587155828
206	4.582746008
207	4.579542537
208	4.576807659
209	4.57263054
210	4.568847995
211	4.56548917
212	4.558821988
213	4.557153679
214	4.555224545
215	4.551014314
216	4.547250988
217	4.544591943
218	4.540816926
219	4.537297744
220	4.534318871
221	4.527164145
222	4.521855853
223	4.518383801
224	4.513219544
225	4.508167631
226	4.506575325
227	4.503772015
228	4.499295941
229	4.498347212
230	4.496171251
231	4.4943575
232	4.491437112
233	4.490293708
234	4.48827265
235	4.482446193
236	4.477171228
237	4.476061997
238	4.474165385
239	4.468714363
240	4.466216901
241	4.464948493
242	4.460172838
243	4.453644573
244	4.452205966
245	4.44530947
